time,id,x,y,angle,speed,lane_id,acceleration
0.4,0,215.5,95.2,90,0,E15_0,0
0.8,0,215.8465327,95.2,90,0.866331817,E15_0,2.165829544
1.2,0,216.5599085,95.2,90,1.783439324,E15_0,2.292768768
1.6,0,217.6653996,95.2,90,2.763727977,E15_0,2.45072163
1.6,1,188.5,304.8,270,0,-E22_0,0
2,0,219.0861331,98.4,90,3.551833651,E15_1,1.970264187
2,1,188.1381408,304.8,270,0.904648099,-E22_0,2.261620248
2.4,0,220.8559321,98.4,90,4.424497502,E15_1,2.181659627
2.4,1,187.4062571,304.8,270,1.829709094,-E22_0,2.312652487
2.4,2,15.5,195.2,90,0,E2_0,0
2.8,0,223.0162043,98.4,90,5.400680364,E15_1,2.440457154
2.8,1,186.405491,304.8,270,2.501915262,-E22_0,1.68051542
2.8,2,15.83771224,195.2,90,0.844280604,E2_0,2.11070151
3.2,0,225.5243979,98.4,90,6.27048412,E15_1,2.174509391
3.2,1,185.0755216,301.6,270,3.324923668,-E22_1,2.057521014
3.2,2,16.44395277,195.2,90,1.51560131,E2_0,1.678301766
3.6,0,228.2558018,98.4,90,6.828509637,E15_1,1.395063791
3.6,1,183.3858671,301.6,270,4.224136112,-E22_1,2.24803111
3.6,2,17.28348029,195.2,90,2.09881881,E2_0,1.458043748
3.6,3,95.2,184.5,180,0,E5_0,0
4,0,231.2103018,98.4,90,7.386250034,E15_1,1.394350993
4,1,181.3000796,301.6,270,5.214468669,-E22_1,2.475831392
4,2,18.53021155,195.2,90,3.116828158,E2_0,2.545023372
4,3,95.2,184.0983771,180,1.004057267,E5_0,2.510143166
4.4,0,234.491941,98.4,90,8.204097992,E15_1,2.044619895
4.4,1,179.0006048,301.6,270,5.74868719,-E22_1,1.335546304
4.4,2,20.16513756,195.2,90,4.087315011,E2_0,2.426217133
4.4,3,95.2,183.3700394,180,1.820844135,E5_0,2.041967172
4.4,4,4.8,115.5,0,0,-E6_0,0
4.8,0,238.124747,98.4,90,9.082015147,E15_1,2.194792887
4.8,1,176.4735017,301.6,270,6.31775771,-E22_1,1.422676299
4.8,2,22.06990979,195.2,90,4.761930591,E2_0,1.686538949
4.8,3,95.2,182.3101307,180,2.649771911,E5_0,2.07231944
